title,tags
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","annihilate (spider-man: across the spider-verse) (metro boomin & swae lee, lil wayne, offset) swae lee, lil wayne, offset, metro boomin 146 b minor"
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","angel pt 1 (feat. jimin of bts, jvke & muni long) kodak black, nle choppa, muni long, jvke, jimin 74 a# minor"
Acrï¿½ï¿½s,acrï¿½ï¿½s shakira 144 b major
AMG,"amg natanael cano, gabito ballesteros, peso pluma 136 b minor"
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","phir aur kya chahiye (from ""zara hatke zara bachke"") arijit singh, sachin-jigar, amitabha bhattacharya 100 e major"
S-Class,s-class stray kids 105 f minor
Hits Different,hits different taylor swift 106 f major
Chanel,"chanel becky g, peso pluma 132 d major"
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"self love (spider-man: across the spider-verse) (metro boomin & coi leray) metro boomin, coi leray 120 a major"
Area Codes,"area codes kaliii, kaliii 155 c# major"
Abcdario,"abcdario junior h, eden muï¿½ï 129 g# major"
Obsessed,"obsessed abhijay sharma, riar saab 135 f minor"
Piï¿½ï¿½man Deï¿,"piï¿½ï¿½man deï¿ semicenk, doï¿½ï¿½u  98 a# minor"
FLOWER,flower jisoo 124 a minor
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","all the way live (spider-man: across the spider-verse) (metro boomin & future, lil uzi vert) future, lil uzi vert, metro boomin 135 a minor"
Eyes Closed,eyes closed ed sheeran 107 d major
Escapism.,"escapism. raye, 070 shake 96 d major"
La Jumpa,"la jumpa arcangel, bad bunny 123 g# major"
Karma (feat. Ice Spice),"karma (feat. ice spice) taylor swift, ice spice 90 g# major"
Superhero (Heroes & Villains) [with Future & Chris Brown],"superhero (heroes & villains) [with future & chris brown] future, chris brown, metro boomin 117 f minor"
Las Morras,"las morras blessd, peso pluma 133 a minor"
CHORRITO PA LAS ANIMAS,chorrito pa las animas feid 96 g# minor
Ch y la Pizza,"ch y la pizza fuerza regida, natanael cano 149 g# major"
Snow On The Beach (feat. More Lana Del Rey),"snow on the beach (feat. more lana del rey) lana del rey, taylor swift 110 f# minor"
Players,players coi leray 105 f# major
Bite Me,bite me enhypen 105 c# major
Stand By Me (feat. Morgan Wallen),"stand by me (feat. morgan wallen) lil durk, morgan wallen 134 b major"
Normal,normal feid 170 e minor
Hummingbird (Metro Boomin & James Blake),"hummingbird (metro boomin & james blake) james blake, metro boomin 81 f# major"
Seu Brilho Sumiu - Ao Vivo,"seu brilho sumiu - ao vivo israel & rodolffo, mari fernandez 154 f# major"
Bad Habit,bad habit steve lacy 169 c# major
CUFF IT,cuff it beyoncï¿ 115 g major
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"lilith (feat. suga of bts) (diablo iv anthem) halsey, suga 84 a minor"
69,"69 nicky jam, feid 93 g# major"
Niï¿½ï¿½a Bo,"niï¿½ï¿½a bo sean paul, feid 91 g major"
Search & Rescue,search & rescue drake 142 a# minor
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"america has a problem (feat. kendrick lamar) kendrick lamar, beyoncï¿ 126 c# major"
Lavender Haze,lavender haze taylor swift 97 a# major
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","link up (metro boomin & don toliver, wizkid feat. beam & toian) - spider-verse remix (spider-man: across the spider-verse ) wizkid, toian, metro boomin, don toliver, beam 101 f major"
Efecto,efecto bad bunny 98 g minor
Erro Gostoso - Ao Vivo,erro gostoso - ao vivo simone mendes 154 f# major
Cupido,cupido tini 120 a major
Just Wanna Rock,just wanna rock lil uzi vert 150 b major
Until I Found You,until i found you stephen sanchez 202 a# major
Rich Flex,"rich flex drake, 21 savage 153 b minor"
Easy On Me,easy on me adele 142 f major
Cartï¿½ï¿½o B,"cartï¿½ï¿½o b mc caverinha, kayblack 108 a minor"
Danger (Spider) (Offset & JID),"danger (spider) (offset & jid) offset, jid 143 b major"
Oi Balde - Ao Vivo,oi balde - ao vivo zï¿½ï¿½ neto & crist 108 d major
The Real Slim Shady,the real slim shady eminem 104 f minor
MERCHO,"mercho migrantes, lil cake, nico valdi 93 f# minor"
The Color Violet,the color violet tory lanez 105 f# minor
Glimpse of Us,glimpse of us joji 170 g# major
Mejor Que Yo,"mejor que yo mambo kingz, dj luian, anuel aa 178 c# minor"
Curtains,curtains ed sheeran 176 f# minor
UNFORGIVEN (feat. Nile Rodgers),"unforgiven (feat. nile rodgers) nile rodgers, le sserafim 104 e minor"
Haegeum,haegeum agust d 85 g major
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"conexï¿½ï¿½es de mï¿½ï¿½fia (feat. rich  rich the kid, matuï¿ 117 f# minor"
Never Felt So Alone,never felt so alone labrinth 98 f major
X SI VOLVEMOS,"x si volvemos karol g, romeo santos 178 c# minor"
ceilings,ceilings lizzy mcalpine 148 a major
Cupid,cupid fifty fifty 120 d major
I AM,i am ive 122 e minor
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,cupid ï¿½ï¿½ï¿½ twin ver. (fifty fifty) ï¿½ï¿½ï¿½ spe sped up 8282 144 f major
Shorty Party,"shorty party cartel de santa, la kelly 96 d major"
Super,super seventeen 137 g# major
Slut Me Out,slut me out nle choppa 121 f# minor
Double Fantasy (with Future),"double fantasy (with future) the weeknd, future 119 a minor"
All Of The Girls You Loved Before,all of the girls you loved before taylor swift 96 d major
PROVENZA,provenza karol g 111 c# major
